No. Var.,Full,within +/- 0.125 stdev of odds,within +/- 0.25 stdev of odds,within +/- 0.5 stdev of odds,within +/- 1 stdev of odds,
1,1100,1100,1100,1100,1100,
2,1110,1110,1110,1110,2100,
3,1200,1200,1200,2100,3100,
4,1201,1210,2100,3100,13x0,
5,1210,1300,2200,13x0,1x00,
6,1300,2100,3100,1x10,1x10,
7,1310,2200,3110,230x,22x0,
8,2100,2210,3200,23x0,230x,
9,2200,2300,2x01,2x01,23x0,
10,2201,3100,2x10,2x10,2x00,
11,2210,3110,33x0,32x0,2x01,
12,2300,3200,3x01,330x,2x10,
13,2301,3210,3x10,33x0,320x,
14,2310,3300,x201,3x00,32x0,
15,3100,2x01,x210,3x01,330x,
16,3110,3x01,x300,3x10,33x0,
17,3200,x201,x301,x200,3x00,
18,3201,x301,x310,x201,3x01,
19,3210,x310,,x210,3x10,
20,3300,,,x300,x110,
21,3301,,,x301,x200,
22,3310,,,x310,x201,
,,,,,x210,
,,,,,x300,
,,,,,x301,
,,,,,x310,
