Ageb,Nrb,Rku,Rro,Odds,P,Frequency
1,1,0,0,78.36507937,0,750
1,1,1,0,23.44987775,0.98,1
1,2,0,0,31.25806452,0.07,551
1,2,0,1,3.159733777,0.12,3
1,2,1,0,9.384215992,0.69,3
1,3,0,0,12.77410468,0.12,173
1,3,1,0,3.830917874,0.03,9
2,1,0,0,54.24861878,0,666
2,2,0,0,21.72727273,0.72,541
2,2,0,1,2.19284802,0.08,2
2,2,1,0,6.513148009,0.32,6
2,3,0,0,8.861932939,0,181
2,3,0,1,0.895016108,0.02,1
2,3,1,0,2.657644477,0,14
3,1,0,0,33.96503497,0.03,629
3,1,1,0,10.17318436,0.66,5
3,2,0,0,13.55604076,0.02,566
3,2,0,1,1.370229912,0.01,2
3,2,1,0,4.06842372,0.01,15
3,3,0,0,5.540222368,0,182
3,3,0,1,0.559332606,0,2
3,3,1,0,1.660989888,0,34
